Abdera	Aibdéire	Άβδηρα
Abderus	Aibdéireas	Ἄβδηρος
Acarnania	An Acarnáin	Ἀκαρνανία
Achilles	Aichill	Ἀχιλλεύς
Admete	Aidméité	Ἀδμήτη
Adonis	Adónas	Ἄδωνις
Aeacus	Aecas	Αἰακός
Aeneas	Aenéas	Αἰνείας
Aeolus	Aeólas	Αἴολος
Aeschylus	Aescaileas	Αἰσχύλος
Aesclepius	Aiscléipeas	Ἀσκληπιός
Aesop	Aesóp	Αἴσωπος
Aetolia	An Aetóil	Αἰτωλία
Agamemnon	Agaiméamnón	Ἀγαμέμνων
Alcibiades	Alcaibiaidéas	Ἀλκιβιάδης
Alcmaeon	Alcmaeón	Ἀλκμαίων
Alcmene	Ailcméiné	Ἀλκμήνη
Alexander	Alastar	Ἀλέξανδρος
Alpheus	an Ailféis	Ἀλφειός
Andromeda	Andraiméide	Ἀνδρομέδα
Antaeus	Antaes	Ἀνταῖος
Anthemius	Aintéimias	Ἀνθέμιος
Tralles	Trailléis	Τραλλιανός
Anthesteria	An Antaistéiria	Ἀνθεστήρια
Antigone	Antagana	Ἀντιγόνη
Antioch	An Aintíoc	Ἀντιόχεια
Antiope	Antaipé	Ἀντιόπη
Aphrodite	Afraidíté	Ἀφροδίτη
Apollo	Apalló	Ἀπόλλων
Apollonius	Apallóinias	Απολλώνιος
Apollos	Apallós	Ἀπολλώς
Archimedes	Airciméidéas	Ἀρχιμήδης
Ares	Airéis	Ἄρης
Aretus	Airéiteas	Ἄρητος
Argonaut	Argónátach	Ἀργοναῦται
Argos	Argas	Άργος
Ariadne	Airianna	Ἀριάδνη
Aristarchus	Arastarcas	Ἀρίσταρχος
Aristomenes	Arastamainéas	Ἀριστομένης
Aristophanes	Arastafainéas	Ἀριστοφάνης
Aristotle	Arastatal	Ἀριστοτέλης
Artemis	Artaimís	Ἄρτεμις
Asphodelus	Asfadal	ἀσφόδελος
Athena	Aitéiné	Ᾰ̓θήνη
Athene	Aitéiné	Ᾰ̓θήνη
Atlas	Atlás	Ἄτλας
Attica	An Aitice	Αττική
Augeas	Áigéas	Αὐγείας
Autolycus	Átailíceas	Αὐτόλυκος
Autonoe	Átanae	Αὐτονόη
Bacchus	Bacas	Βάκχος
Belisarius	Beileasáirias	Βελισάριος
beta	béite	βῆτα
Bistones	Biostónaigh	Βίστονες
Boeotia	An Bhéóitia	Βοιωτία
Bosphorus	An Bosparas	Βόσπορος
boulé	búilé	βουλή
bouleuterion	búiléatar	βουλευτήριον
Brasidas	Brasadas	Βρασίδας
Buri	Búirí	Βοῦροι
Byblos	Bíoblós	Βύβλος
Byzantium	Biosáintiam	Βυζάντιον
Cacus	Cacas	Κάκος
Calydon	Caladón	Καλυδών
Calypso	Cailíopsó	Καλυψώ
Taenarum	Taenaram	Ταίναρον
Cappadocia	An Chapadóic	Καππαδοκία
Centaur	Ceinteár	κένταυρος
Nessus	Neiseas	Νέσσος
Cerberus	Ceirbearas	Κέρβερος
Ceryneia	An Cheirin	Κερύνεια
Charon	Carán	Χάρων
