1	Ráth Bhile	Rathvilly
2	Uí Dhróna Thoir	Idrone East
3	Ceatharlach	Carlow
4	Fotharta	Forth
5	Tigh Moling Uachtarach	Saint Mullin's Upper
6	Tigh Moling Íochtarach	Saint Mullin's Lower
7	Uí Dhróna Thiar	Idrone West
8	Sliabh Mairge	Slievemargy
9	Clann Mhathúna	Clanmahon
10	Caisleán Raithin	Castlerahan
11	Clann Chaoich	Clankee
12	Lucht Tí Uachtarach	Loughtee Upper
13	Lucht Tí Íochtarach	Loughtee Lower
14	Teallach Eathach	Tullyhaw
15	Teallach Dhúnchadha	Tullyhunco
16	Teallach Ghairbhíth	Tullygarvey
17	Bun Raite Íochtarach	Bunratty Lower
18	Boirinn	Burren
19	Inse Uí Chuinn	Inchiquin
20	Corca Mrua	Corcomroe
21	Bun Raite Uachtarach	Bunratty Upper
22	Na hOileáin	Islands
23	Cluain idir Dhá Lá	Clonderalaw
24	Uí Bhreacáin	Ibrickan
25	Maigh Fhearta	Moyarta
26	An Tulach Íochtarach	Tulla Lower
27	An Tulach Uachtarach	Tulla Upper
28	Liatroim	Leitrim
29	Múscraí Thoir	Muskerry East
30	Uí Mhic Coille	Imokilly
31	Cineál mBéice	Kinalmeaky
32	Cairbrigh Thoir (an Roinn Thoir)	Carbery East (E.D.)
33	Cineál Aodha	Kinalea
34	Barraigh Mhóra	Barrymore
35	Cairbrigh Thoir (an Roinn Thiar)	Carbery East (W.D.)
36	Beanntraí	Bantry
37	Cairbrigh Thiar (an Roinn Thiar)	Carbery West (W.D.)
38	Béarra	Bear
39	Uí Bhána agus Barraigh Rua	Ibane and Barryroe
40	Corcaigh	Cork
41	Ciarraí Cuirche	Kerrycurrihy
42	Baróidigh	Barretts
43	Múscraí Thiar	Muskerry West
44	Coill na Talún	Kinnatalloon
45	Mainistir Fhear Maí	Fermoy
46	Condúnaigh agus Clann Ghiobúin	Condons and Clangibbon
47	Dúiche Ealla	Duhallow
48	Orbhraí agus An Choill Mhór	Orrery and Kilmore
49	Cúrsaigh	Courceys
50	Cionn tSáile	Kinsale
51	Cairbrigh Thiar (an Roinn Thoir)	Carbery West (E.D.)
52	Tír Aodha	Tirhugh
53	Inis Eoghain Thiar	Inishowen West
